Unnamed: 0,NAME,TEAM,POS,NAT,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,FOULS,FOULED,TACKLES ATT/WON,AERIALS ATT/WON,DUELS ATT/WON,CLEAR,ERR CHANCE,ERR GOAL,POSS LOST,OFFSIDE,TOUCHES,INTERCEP,RECOV,LAST MAN TACKLE,PASSES,PASS COMP %,FINAL THIRD,LONG BALL,PEN,SHOTS,ON TARGET,BLOCKED,DRIBBLES,TOUCHES IN BOX,BIG CHANCE,CROSSES,SAVES,GOALS CON,PEN CON,PEN SAVE,DECISIVE,FIRST,EQUALISER,PEN WON,RATING,MATCH_ID
,D. Núñez,Liverpool,F,,Uruguay,23,-,-,-,-,-,-,1/1,1/0,3/1,-,-,-,6,1,11,-,1,-,7,57%,4,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,5.8,3356950
,Diogo Jota,Liverpool,F,,Portugal,11,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,3,-,-,-,2,100%,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,3356950
,H. Elliott,Liverpool,M,,England,7,-,-,-,-,-,-,0/0,0/0,0/0,-,1,-,2,-,8,-,-,-,6,83%,4,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,,3356950
,David Raya,Arsenal,GK,,Spain,90,-,-,-,-,-,-,0/0,0/0,0/0,1,-,-,19,-,55,-,10,-,43,58%,10,25,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,6.0,3356950
,B. White,Arsenal,DR,,England,78,-,-,-,-,-,1,4/2,1/0,7/5,1,-,-,10,-,50,1,2,-,33,91%,11,2,-,1,1,-,-,2,-,4,-,-,-,-,-,-,-,-,6.0,3356950
,W. Saliba,Arsenal,DCR,,France,90,-,-,-,-,-,-,2/1,2/2,6/4,5,-,-,3,-,76,-,4,-,66,98%,5,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,3356950
,J. Kiwior,Arsenal,DCL,,Poland,90,-,-,-,-,1,1,2/0,0/0,4/3,4,-,-,3,-,51,1,3,-,42,93%,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,3356950
,M. Lewis-Skelly,Arsenal,DL,,England,90,-,-,1,-,1,5,0/0,0/0,6/5,3,-,-,2,-,57,-,3,-,42,98%,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.9,3356950
,M. Odegaard,Arsenal,MCR,,Norway,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,16,-,71,1,2,-,55,82%,26,1,-,3,1,1,-,6,1,3,-,-,-,-,-,-,-,-,6.9,3356950
,T. Partey,Arsenal,MC,,Ghana,90,-,-,-,-,4,2,4/2,0/0,12/8,1,-,-,10,-,72,1,7,-,58,84%,17,3,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,6.6,3356950
,Mikel Merino,Arsenal,MCL,,Spain,78,1,-,1,1,3,2,5/4,5/2,21/9,-,1,-,10,-,44,1,4,-,23,87%,10,-,-,3,2,1,1,4,-,1,-,-,-,-,1,-,1,-,7.2,3356950
,B. Saka,Arsenal,WR,,England,88,-,-,-,-,-,-,0/0,1/1,4/3,-,-,-,8,1,39,-,3,-,25,88%,17,-,-,4,1,1,2,7,-,1,-,-,-,-,-,-,-,-,6.4,3356950
,L. Trossard,Arsenal,S,,Belgium,78,-,1,-,-,-,2,2/2,0/0,13/7,-,-,-,16,-,61,-,5,-,36,86%,19,1,-,2,-,1,3,10,2,3,-,-,-,-,-,-,-,-,8.4,3356950
,G. Martinelli,Arsenal,WL,,Brazil,90,1,-,-,-,1,-,0/0,4/0,0/0,2,-,-,8,-,29,-,2,-,18,72%,12,-,-,2,2,-,-,5,-,2,-,-,-,-,-,-,-,-,6.5,3356950
,K. Tierney,Arsenal,D,,Scotland,12,-,-,-,-,-,-,1/1,0/0,0/1,-,-,-,1,-,3,-,1,-,2,50%,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356950
,O. Zinchenko,Arsenal,D,,Ukraine,2,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356950
,R. Calafiori,Arsenal,D,,Italy,12,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,1,-,2,-,-,-,1,100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356950
,E. Martínez,Aston Villa,GK,,Argentina,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,1,-,35,-,10,-,28,96%,-,4,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,6.6,3356958
,M. Cash,Aston Villa,DR,,Poland,90,-,-,1,-,-,1,2/1,1/1,7/6,2,-,-,13,-,77,1,7,-,52,87%,17,1,-,1,-,-,2,2,-,4,-,-,-,-,-,-,-,-,7.1,3356958
,E. Konsa,Aston Villa,DCR,,England,90,1,-,-,-,2,2,2/1,0/0,6/4,3,-,-,2,1,100,1,5,-,90,98%,16,3,-,2,2,-,-,2,-,-,-,-,-,-,1,1,-,-,8.7,3356958
,Pau Torres,Aston Villa,DCL,,Spain,90,-,-,-,-,-,-,1/1,1/0,3/1,3,-,-,9,-,128,-,7,-,120,95%,31,9,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,8.1,3356958
,I. Maatsen,Aston Villa,DL,,Netherlands,90,-,-,-,-,1,-,2/2,1/1,10/5,1,-,-,16,-,86,-,3,-,65,86%,25,1,-,2,-,1,2,5,-,3,-,-,-,-,-,-,-,-,7.4,3356958
,B. Kamara,Aston Villa,DMCR,,France,90,1,-,-,-,1,2,1/1,3/2,9/5,-,-,-,11,-,62,-,4,-,52,87%,16,-,-,1,1,-,-,4,-,-,-,-,-,-,-,-,-,-,7.4,3356958
,A. Onana,Aston Villa,DMCL,,Belgium,88,-,-,-,-,1,1,4/4,1/0,8/6,-,-,-,4,-,57,1,1,-,45,91%,20,3,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,7.8,3356958
,M. Rogers,Aston Villa,AMR,,England,90,-,1,-,-,-,1,1/1,1/0,4/2,-,-,-,11,-,40,-,4,-,30,77%,20,1,-,2,1,1,-,5,-,3,-,-,-,-,-,-,-,-,6.7,3356958
,M. Asensio,Aston Villa,AMC,,Spain,90,-,-,-,-,-,1,0/0,0/0,0/5,-,-,-,19,-,67,-,1,-,42,83%,28,3,-,4,1,1,4,5,-,11,-,-,-,-,-,-,-,-,6.6,3356958
,J. McGinn,Aston Villa,AML,,Scotland,90,-,-,-,-,-,1,2/2,1/1,8/6,-,-,-,9,-,48,-,3,-,30,87%,18,1,-,3,-,-,2,5,-,4,-,-,-,-,-,-,-,-,6.4,3356958
,O. Watkins,Aston Villa,S,,England,86,-,1,-,-,-,2,0/0,1/1,4/3,-,-,-,5,-,20,-,-,-,13,69%,8,-,-,3,2,1,-,9,1,-,-,-,-,-,-,-,-,-,7.1,3356958
,R. Barkley,Aston Villa,M,,England,2,-,-,-,-,-,-,0/0,0/0,0/1,-,-,-,1,-,9,-,-,-,8,88%,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,,3356958
,D. Malen,Aston Villa,F,,Netherlands,4,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,1,-,4,-,-,-,2,100%,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,3356958
,A. Kinský,Tottenham,GK,,Czechia,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,,3356958
,D. Spence,Tottenham,DR,,England,90,-,-,-,-,1,-,2/1,1/0,7/3,4,1,-,7,-,48,1,1,-,23,91%,7,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5.7,3356958
,K. Danso,Tottenham,DCR,,Austria,90,-,-,-,-,1,-,0/0,0/0,0/0,6,-,-,2,-,46,2,3,-,33,94%,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,3356958
,B. Davies,Tottenham,DCL,,Wales,90,-,-,-,-,-,-,1/0,1/0,3/1,5,-,-,4,-,45,-,1,1,37,89%,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,3356958
,Reguilón,Tottenham,DL,,Spain,74,-,-,-,-,-,1,0/0,0/0,4/1,4,-,-,13,-,47,2,5,-,26,65%,5,7,-,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,5.9,3356958
,A. Gray,Tottenham,DMCR,,England,90,-,-,1,-,2,-,0/0,0/0,3/1,3,-,-,5,-,36,3,2,-,22,86%,5,5,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,6.1,3356958
,P. Sarr,Tottenham,DMCL,,Senegal,53,-,-,-,-,2,-,1/1,3/2,6/3,3,-,-,3,-,21,2,3,-,13,77%,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,3356958
,M. Moore,Tottenham,AMR,,England,87,-,-,-,-,-,2,2/1,1/0,10/4,2,-,-,7,-,20,-,1,-,9,78%,4,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,5.4,3356958
,W. Odobert,Tottenham,AMC,,France,87,-,-,-,-,1,-,1/0,1/1,5/2,2,-,-,6,-,24,1,3,-,14,86%,3,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,5.8,3356958
,Son,Tottenham,AML,,Korea Republic,74,-,-,-,-,-,-,0/0,0/0,0/0,1,-,-,8,-,32,-,4,-,24,88%,13,1,-,1,-,-,-,3,-,3,-,-,-,-,-,-,-,-,6.0,3356958
,M. Tel,Tottenham,S,,France,90,-,-,1,-,4,2,1/0,2/0,14/4,1,-,-,11,-,31,1,1,-,14,86%,8,-,-,-,-,-,1,2,1,1,-,-,-,-,-,-,-,-,6.0,3356958
,R. Bentancur,Tottenham,M,,Uruguay,16,-,-,-,-,-,-,1/1,0/0,0/1,-,-,-,-,-,9,-,-,-,8,100%,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,3356958
,Y. Bissouma,Tottenham,M,,Mali,37,-,-,-,-,1,-,0/0,0/0,0/0,2,-,-,5,-,22,1,1,-,15,67%,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.8,3356958
,D. Solanke,Tottenham,F,,England,16,-,-,-,-,-,-,0/0,0/0,2/1,-,-,-,2,-,6,-,-,-,4,75%,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5.4,3356958
,Richarlison,Tottenham,F,,Brazil,3,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356958
,B. Johnson,Tottenham,M,,Wales,3,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,3,-,4,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,,3356958
,Robert Sánchez,Chelsea,GK,,Spain,90,-,-,-,-,-,-,0/0,1/1,0/1,1,-,-,13,-,35,-,8,-,23,43%,5,16,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,6.5,3356961
,R. James,Chelsea,DR,,England,90,-,1,-,-,-,-,0/0,4/1,8/2,2,-,-,16,-,81,-,4,-,62,85%,19,7,-,2,-,1,1,1,1,1,-,-,-,-,-,-,-,-,7.6,3356961
,T. Adarabioyo,Chelsea,DCR,,England,90,-,-,-,-,-,2,3/3,3/2,8/7,6,-,-,4,-,59,-,4,-,44,91%,3,2,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,7.7,3356961
,L. Colwill,Chelsea,DCL,,England,90,-,-,-,-,-,1,2/2,3/2,7/5,4,-,-,12,1,57,-,4,-,46,76%,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,3356961
,Cucurella,Chelsea,DL,,Spain,90,1,-,-,-,1,2,3/3,4/2,12/7,1,-,-,13,-,56,3,6,-,33,70%,12,6,-,1,1,-,-,1,-,-,-,-,-,-,1,1,-,-,8.4,3356961
,E. Fernández,Chelsea,DMCR,,Argentina,90,-,-,-,-,3,1,1/1,0/0,8/3,-,-,-,13,1,57,-,5,-,42,74%,13,4,-,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,6.3,3356961
,M. Caicedo,Chelsea,DMCL,,Ecuador,90,-,-,-,-,2,2,3/3,2/0,14/7,-,-,-,11,-,72,-,12,-,58,86%,21,7,-,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,7.3,3356961
,Pedro Neto,Chelsea,AMR,,Portugal,90,-,-,-,-,2,1,1/0,2/0,12/3,-,-,-,17,-,52,-,3,-,27,96%,13,-,-,1,1,-,1,2,-,7,-,-,-,-,-,-,-,-,6.2,3356961
,C. Palmer,Chelsea,AMC,,England,90,-,-,1,-,-,2,3/1,0/0,8/5,-,-,-,13,-,51,-,5,-,34,88%,20,5,-,2,1,1,-,1,2,1,-,-,-,-,-,-,-,-,7.2,3356961
,N. Madueke,Chelsea,AML,,England,90,-,-,-,-,-,-,1/1,3/1,11/4,-,-,-,13,-,41,1,4,-,23,87%,8,-,-,2,-,-,2,8,-,4,-,-,-,-,-,-,-,-,6.4,3356961
,T. George,Chelsea,S,,England,81,-,-,-,-,1,-,0/0,1/0,0/0,-,-,-,6,1,14,1,1,-,8,63%,3,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5.3,3356961
,R. Lavia,Chelsea,M,,Belgium,9,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356961
,A. Onana,Man Utd,GK,,Cameroon,90,-,-,-,-,-,-,1/1,0/0,0/2,-,-,-,19,-,52,-,12,1,43,56%,11,32,-,-,-,-,1,-,-,-,2,1,-,-,-,-,-,-,6.5,3356961
,V. Lindelof,Man Utd,DR,,Sweden,90,-,-,-,-,1,-,1/0,3/2,5/3,2,-,-,3,-,82,-,7,-,76,96%,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.9,3356961
,H. Maguire,Man Utd,DC,,England,90,-,-,-,-,-,-,1/0,3/2,4/3,2,-,-,17,1,74,1,8,-,68,76%,5,8,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.4,3356961
,L. Shaw,Man Utd,DL,,England,81,-,-,-,-,-,1,0/0,0/0,0/1,-,-,-,4,-,48,-,-,-,42,93%,3,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,6.1,3356961
,N. Mazraoui,Man Utd,DMR,,Morocco,90,-,-,1,-,1,2,3/2,4/2,13/7,3,-,-,12,1,67,-,4,-,41,78%,8,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.1,3356961
,B. Fernandes,Man Utd,DMCR,,Portugal,81,-,-,1,-,2,1,2/0,1/1,10/4,-,1,-,17,-,57,1,7,-,37,76%,15,11,-,1,-,-,1,2,-,4,-,-,-,-,-,-,-,-,5.7,3356961
,Casemiro,Man Utd,DMCL,,Brazil,70,-,-,1,-,1,-,3/2,1/1,6/4,2,-,-,9,-,57,1,3,-,45,82%,13,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.3,3356961
,P. Dorgu,Man Utd,DML,,Denmark,90,-,-,-,-,2,2,5/4,6/4,17/10,2,-,-,11,-,53,-,7,-,31,81%,13,2,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,-,6.8,3356961
,A. Diallo,Man Utd,AMCR,,Côte d’Ivoire,90,-,-,1,-,1,1,0/0,0/0,9/3,1,-,-,13,-,46,-,2,-,29,86%,13,-,-,1,1,-,2,7,-,1,-,-,-,-,-,-,-,-,6.3,3356961
,M. Mount,Man Utd,AMCL,,England,70,-,-,-,-,-,1,3/1,0/0,5/4,-,-,-,7,-,29,1,2,-,15,73%,9,1,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,5.7,3356961
,R. Højlund,Man Utd,S,,Denmark,90,-,-,-,-,2,-,0/0,5/2,11/2,-,-,-,13,-,26,-,2,-,17,65%,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.1,3356961
,A. Garnacho,Man Utd,F,,Argentina,20,-,-,-,-,-,1,1/0,0/0,3/2,-,-,-,1,-,7,-,-,-,3,100%,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5.6,3356961
,M. Ugarte,Man Utd,M,,Uruguay,20,-,-,1,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356961
,K. Mainoo,Man Utd,M,,England,9,-,-,-,-,-,1,1/1,0/0,3/2,1,-,-,2,-,10,-,1,-,5,80%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356961
,A. Heaven,Man Utd,D,,England,9,-,-,1,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356961
,J. Pickford,Everton,GK,,England,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,13,-,47,-,3,-,43,70%,8,22,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,6.6,3356963
,S. Coleman,Everton,DR,,Republic of Ireland,18,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,2,-,16,-,-,-,14,93%,6,3,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,6.1,3356963
,J. O'Brien,Everton,DCR,,Republic of Ireland,90,-,-,-,-,-,-,0/0,7/6,7/6,5,-,-,4,-,58,-,1,-,48,92%,3,-,-,1,-,1,-,4,-,-,-,-,-,-,-,-,-,-,6.8,3356963
,J. Branthwaite,Everton,DCL,,England,74,-,-,-,-,-,-,0/0,7/6,8/6,1,-,-,11,-,64,2,4,-,59,81%,9,7,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,6.8,3356963
,V. Mykolenko,Everton,DL,,Ukraine,90,-,-,-,-,-,4,7/5,0/0,12/11,5,-,-,14,-,73,3,4,-,39,82%,14,3,-,1,-,-,-,2,1,4,-,-,-,-,-,-,-,-,8.3,3356963
,J. Garner,Everton,DMCR,,England,90,-,-,1,-,1,-,2/1,4/1,10/3,1,-,-,9,-,80,1,3,-,65,92%,14,5,-,3,1,1,-,4,-,2,-,-,-,-,-,-,-,-,6.8,3356963
,I. Guèye,Everton,DMCL,,Senegal,90,-,-,-,-,1,-,8/6,1/1,17/9,1,-,-,9,-,81,1,6,-,64,91%,13,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,7.8,3356963
,D. McNeil,Everton,AMR,,England,65,-,1,-,-,-,1,0/0,1/0,11/3,-,-,-,12,-,43,1,2,-,23,100%,6,-,-,-,-,-,2,2,1,7,-,-,-,-,-,-,-,-,7.1,3356963
,A. Doucouré,Everton,AMC,,Mali,65,-,-,-,-,2,-,2/1,2/1,10/3,-,-,-,8,-,43,1,5,-,31,94%,10,3,-,2,1,1,-,5,-,-,-,-,-,-,-,-,-,-,6.6,3356963
,I. Ndiaye,Everton,AML,,Senegal,75,2,-,-,-,-,1,2/1,0/0,5/4,-,-,-,4,-,45,-,3,-,35,94%,14,1,-,2,2,-,1,5,1,-,-,-,-,-,1,1,-,-,9.4,3356963
,Beto,Everton,S,,Guinea-Bissau,90,-,-,-,-,-,2,0/0,7/4,13/8,2,-,-,7,2,32,1,5,-,18,78%,9,1,-,3,1,-,2,4,1,-,-,-,-,-,-,-,-,-,6.9,3356963
,M. Keane,Everton,D,,England,16,-,-,-,-,-,-,2/2,2/2,5/4,-,-,-,1,-,11,-,1,-,8,88%,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6.7,3356963
,J. Harrison,Everton,M,,England,25,-,-,-,-,-,1,0/0,1/0,3/1,1,-,-,4,-,11,-,1,-,5,80%,2,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,6.1,3356963
,C. Alcaraz,Everton,M,,Argentina,25,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,4,-,13,-,1,-,10,80%,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,3356963
,A. Young,Everton,M,,England,72,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356963
,D. C-Lewin,Everton,F,,England,15,-,-,-,-,-,-,0/0,0/0,0/0,3,-,-,4,-,10,1,-,-,2,50%,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,,3356963
,A. Ramsdale,Southampton,GK,,England,90,-,-,-,-,-,-,0/0,0/0,0/0,1,1,-,14,-,41,-,8,-,32,56%,6,16,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,5.6,3356963
,T. Harwood-Bellis,Southampton,DR,,England,82,-,-,-,-,-,-,1/1,7/3,8/4,4,-,-,15,-,82,-,2,-,69,81%,7,7,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,6.3,3356963
,N. Wood-Gordon,Southampton,DC,,England,60,-,-,-,-,-,-,1/0,1/1,0/2,6,-,-,1,-,56,1,-,1,47,98%,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.1,3356963
,J. Stephens,Southampton,DL,,England,90,-,-,-,-,1,-,2/1,0/0,4/2,3,-,-,5,-,88,2,1,-,78,95%,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.6,3356963
,J. Bree,Southampton,DMR,,England,90,-,-,-,-,2,-,1/1,0/0,3/1,1,-,-,11,-,56,1,3,-,39,82%,10,1,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,6.0,3356963
,F. Downes,Southampton,DMCR,,England,90,-,-,1,-,1,2,2/1,4/1,12/7,3,-,-,3,-,64,-,4,-,52,96%,6,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,6.5,3356963
,J. Aribo,Southampton,DMCL,,Nigeria,60,-,-,-,-,-,-,0/0,3/0,6/2,-,-,-,6,-,51,-,1,-,40,93%,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,6.0,3356963
,Welington,Southampton,DML,,Brazil,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356963
,T. Dibling,Southampton,AMCR,,England,68,-,-,-,-,1,-,0/0,4/0,11/1,-,-,-,8,-,25,-,1,-,17,88%,3,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5.3,3356963
,Mateus Fernandes,Southampton,AMCL,,Portugal,90,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356963
,Kamaldeen,Southampton,S,,Ghana,60,-,-,-,-,1,-,2/1,2/1,9/3,-,-,-,9,-,22,-,3,-,11,82%,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,3356963
,Ross Stewart,Southampton,F,,Scotland,30,-,-,-,-,-,-,1/1,3/1,7/4,-,-,-,4,-,16,1,2,-,7,57%,2,-,-,3,1,1,2,7,-,-,-,-,-,-,-,-,-,-,6.4,3356963
,J. Robinson,Southampton,F,,England,22,-,-,-,-,1,-,1/0,0/0,7/2,1,-,-,6,-,17,-,2,-,10,80%,5,1,-,-,-,-,1,2,1,-,-,-,-,-,-,-,-,-,6.3,3356963
,C. Archer,Southampton,F,,England,30,-,-,-,-,-,1,0/0,0/0,3/2,-,-,-,3,-,19,-,1,-,10,100%,2,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,6.1,3356963
,W. Smallbone,Southampton,M,,Republic of Ireland,30,-,-,-,-,-,-,1/1,4/0,6/1,1,-,-,9,-,23,-,-,-,16,63%,5,-,-,1,-,-,-,3,-,2,-,-,-,-,-,-,-,-,5.7,3356963
,J. Kayi Sanda,Southampton,D,,France,8,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356963
,M. Sels,Notts Forest,GK,,Belgium,90,-,-,-,-,-,-,0/0,1/1,0/1,1,-,-,11,-,25,-,1,-,20,45%,6,18,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,7.1,3356966
,O. Aina,Notts Forest,DR,,Nigeria,90,-,-,-,-,-,-,0/0,0/0,0/0,5,-,-,12,-,44,2,7,-,21,76%,4,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,6.3,3356966
,N. Milenković,Notts Forest,DCR,,Serbia,90,1,-,-,-,1,-,4/1,4/2,10/6,7,-,-,4,-,37,2,4,1,20,85%,4,3,-,2,1,-,-,3,-,-,-,-,-,-,1,-,-,-,8.3,3356966
,Murillo,Notts Forest,DCL,,Brazil,90,-,-,1,-,1,2,0/0,1/1,7/4,9,-,-,8,-,53,3,3,-,32,84%,7,5,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,6.8,3356966
,N. Williams,Notts Forest,DL,,Wales,90,-,-,-,-,-,3,8/7,2/1,16/12,6,-,-,18,1,76,4,6,-,30,73%,10,7,-,-,-,-,-,4,-,3,-,-,-,-,-,-,-,-,7.9,3356966
,N. Domínguez,Notts Forest,DMR,,Argentina,90,-,-,-,-,-,-,6/3,3/2,12/8,5,-,-,8,-,51,-,8,-,36,83%,15,1,-,1,-,1,-,2,-,-,-,-,-,-,-,-,-,-,6.8,3356966
,I. Sangaré,Notts Forest,DMC,,Côte d’Ivoire,83,-,-,-,-,-,1,1/0,3/2,8/4,4,-,-,4,-,47,2,4,-,32,94%,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.7,3356966
,E. Anderson,Notts Forest,DML,,England,83,-,-,1,-,3,1,5/3,4/1,19/7,3,-,-,15,-,66,1,3,-,42,88%,14,3,-,-,-,-,-,3,1,4,-,-,-,-,-,-,-,-,6.9,3356966
,M. Gibbs-White,Notts Forest,AMC,,England,83,1,-,-,-,1,1,0/0,4/0,8/1,-,-,-,8,-,46,2,4,-,32,88%,11,3,-,3,2,1,-,4,1,3,-,-,-,-,-,1,-,-,7.6,3356966
,C. Wood,Notts Forest,FCR,,New Zealand,90,-,-,-,-,-,1,1/1,6/2,14/4,1,-,-,21,1,41,-,2,-,26,46%,18,1,-,2,1,-,-,5,-,-,-,-,-,-,-,-,-,-,5.9,3356966
,A. Elanga,Notts Forest,FCL,,Sweden,90,-,1,-,-,-,2,1/1,1/0,7/3,-,-,-,10,-,31,-,1,-,15,87%,10,-,-,1,1,-,-,6,-,6,-,-,-,-,-,-,-,-,6.8,3356966
,C. Hudson-Odoi,Notts Forest,F,,England,7,-,-,-,-,-,3,2/0,0/0,0/6,1,-,-,4,-,14,-,-,-,4,75%,2,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,,3356966
,Morato,Notts Forest,D,,Brazil,7,-,-,1,-,-,-,1/1,0/0,0/1,1,-,-,1,-,9,-,2,-,5,80%,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356966
,Danilo,Notts Forest,M,,Brazil,7,-,-,-,-,-,-,0/0,0/0,0/0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,3356966
